Tasks,Tasks,Tasks,Tasks
Planned2,Planned1,0,Planned
Important1,Planned1,0,Important
Important2,Planned1,1,Important
Planned,Created1,null,Created1
AMAZIN,Created2,null,Important
CompletionCheck1,CompletionCheck1,1,Planned
Test1,This is a Tester,1,Planned
NewTask1,This is a new task ,1,Important
iiobbaobwor,c1x18tzt0q9xj9,0,Important
onyyzionyupapware,68xb0ieft64lwp9ih6k6wtffpshc9not63kvn8hdx4tplcf,1,Planned
iqygshprzi,sd7r3tmu1gbk6tqn3miea4mevlgl6ohqd391jsqngy7qcwpk,1,Planned
gbbmlmjtjop,1d0acj4rtka,0,Important
zukcmpojnoat,8netthifxjyvar93jkl4gr0pva156lx5t,0,Important
bxvkhc,6gibvpwlab46djyjeykwtak4r,0,Important
eebjquozhwjshestr,4k2t03v1pcrwgwv2ytbiuk9jm41b6n7jageltr9gwoai2o,1,Important
dcvyphsyoykgmpaoqra,5jijbxlk7fw2u9lemuull3mylyjxdyc1dpu,1,Planned
iydcrix,vln5mk66qrebimzznm2ilvgn642sjm17egjym7jqm,1,Important
htxrwgcz,54u48882nvc0oiuui,0,Important
kmonadalyhfqp,1dbshaxbywe249g4ms0,1,Important
ydhpdpdqhplavkvckoc,qhv99uopp4hg1fv44,0,Planned
wvdpugnw,vw48uo4eg61gxij57,1,Planned
sktlr,3a0uhiq14y0tnsjd8fhkq17h2ee6,0,Important
dodrelnaawmsbckk,ej9cy3omfk6p4wao97lgxap,0,Important
ecpqkzizd,zxyx9ytdnf5bpcdzu6pztrs1vlz4200jugp6vbfqgnt9nskd01,1,Important
hphxoejmoxrrzcv,h761rbxm6dwykwr3kywwr7wx77urp0vl1,0,Important
hslivmmmxwngs,mtid3n0lgs0ghosvdb210vjq8ruumhqhvcyd,0,Planned
hvfmyw,yte13lzlbe153wdy51zn9ocgcx9y1x8erfj3elsh9,0,Important
caawkfmeuyrdqk,exmszghqr1wgu8918tz8v5t60ri3gc27skji3sx15ink7kor1,1,Important
sieupc,8ujtj8ux1eq773iqc4g1e7pj395,0,Important
tnxqlueozcomaz,trwntm87vvjcuvw6oqgztcroi6k0lwmyaygszyuf8otbg2oo20,0,Planned
sytpox,8vjef2544rm7mcp72cf1jlhzof1,0,Important
lvbwvsottxakwmi,51yp5171mn3iolf3gjx,0,Important
xbhodcilsifnhzxhve,xm2b29p36ldhrhf8gdvisg73u4n8f4ez63ry8ayz5,0,Important
htlldf,ffl07klz1vlv3egfa1sj8p,1,Planned
lidvdet,y4m8ks87izr9t8um2l1r1s2m,0,Planned
fapomtnxitcsoiz,cg60oya7jg6efqneryccpshp99ev,1,Planned
oilzcdfoysjs,a3uto8xw5rdxv4vt9ef91w9urbhr47m14yfzy5cnx4xeq624,1,Important
zdlahf,ij0k6dy8mlt1soysgo1stdcg6tcabvrdpoxwr9tybbmql,1,Planned
tobyah,8wyjjj0s5w2ww94,0,Planned
ytwzffdzq,0q8o0h7scq70gtgkoofzt6hwnatlg0k,1,Important
wyhkolipxyarpsvktmhb,vtrc25yvfspmu8tic48,0,Important
sysnaokxtfzcrnrjh,kuduo28kv1wkgeq99ef7t8976zoruga,0,Planned
ghcsrb,1njpah83buddan75l1lhj5hudvspmteqde6l5hggy5iqjim,1,Planned
hxzappebclkrd,6jlj5rgreg,1,Planned
kuswahib,f07o5rfop4uf1l3t64kf4lxlpo74h4hl4dspndvwydmcsym1,0,Important
oxtpcaoz,yuzdqs0x1syevo1u9e,1,Planned
avsnft,i1m38qeu262mhqphbwoizfe7842lowvcgm6km366zvre,1,Important
rqqsugcmp,ebaxiuih60d4rok74qk7g9xi6s,1,Important
xutdj,hq7m0hqds2zgey5grc2rw3xdyawrpj2802dnf,0,Important
hgzinbdqtxotblsceo,8g3x2ort3985,0,Important
lpyxtzoyuxzcpm,jxov3p1e0fd3l7eck9n65p9bs9hqmexlwv,1,Planned
bmbexutmves,kiaetw5knu2sr44q,0,Planned
lnzhktoqurpgzexlr,q5w5ybctm04sl0dwmcs0x9aroq8jj4qcgz,1,Planned
ombwdabou,vzt5esnbk26f80ixdnsc,0,Planned
ckxacqoxndqph,8m1gzxjn6h0utl5q63w2pb2pjybn3rwk16wjs7rfe6dd59org2,0,Important
uygdovvejswnucorpm,52epm3us9ff7azfo1qi2vwipqrd5y,0,Important
jgcyudz,6lw73h6sw92e0hdhtzjzu,1,Important
abbfrjesqncjnjeqocu,nbps99d1xi4w98eir0nerrc,1,Planned
lnxplcdtufycewmcrncp,xoz70jgquzewfeuttugx76wtisepz,0,Important
vlpopbxytlmdvjrsrwc,tj5wgvsnovzs9u7t7m09e23nutvdhbd11,1,Important
aeytulslttznbxfxfw,wvv8ecigwyim,1,Important
dbfiahphqn,l0ebwe8nf8cxghiffl,0,Important
abawjasdruwaeccxleps,pgfxhx0ucosi1q2sxpaoln9lbt9xisc,0,Important
vlqatx,o2sypiffjrfrulas1b,0,Important
izyhtgfcyuppwbznck,w6epafitrp1mh9db045bpkrsqgztb4b82svbj24kjr6tyqa,1,Planned
qzxxhbw,blp7e5whq5oifime,0,Important
smsdxedjdngobx,t3a1glfpcieaua8b8jaxqbmbfbv3uszdc,0,Planned
devwzjqnnk,gs99xrehii5,1,Important
nwcf,gvnhxirfio,0,Important
xhytlrjvchhkjp,vhcrgx0oe04mx1qx3i4ddp7,1,Important
oqvhjumqxgax,kird17e5zl2i5ykyh2l11nz3m53qhw32vbp6vhpoty3,0,Planned
cqmybgy,vsyc3cjcwetmpvyden7zduavwxxnsqup5p5pq,1,Important
hqbu,9ls4rjnk2aodgkz7ys6rkdk25vijbdnctssrmvv0,1,Important
pljwvkkzdcf,lxxmogv58w7nyh19g1ifyc4bf53ezyt816gpqyv8loyr,1,Important
symyuxyl,pzvkrjfgedpkcra94to3rt2cj1b,0,Important
eipmvjpxcykygug,1n6ywj85si7huwas7h89mww1w45eht58azsqzw68197z4m,1,Planned
pefdjyvrxk,jok1kj0cgvfs94yjukscrg,1,Important
bdunzjrk,mh35uitpaux,0,Important
kuqareufsuuejmntaybl,s4tlnpq932tlkm7cec1urc0881u2n8k1w0abas8s5,0,Important
zeoogf,zr6dj4vjf7ofj003jtvaw36pvhides6ptm1ttxjh7z,0,Important
furcp,33v9wjhlku63utq9xtvdoxrflcl7rx517ijresnjohq5lz1,0,Planned
ivvcjvvanhgyesam,h81ktc7uvl2pvrb90pwngywjdq,0,Planned
tmschycysaxhg,5t85lh4xtuinrbvrq9gyu1ccmef6an6z5kbmzwnd2inpcq58w,0,Planned
zcebjj,ccfhnafhlmijmjt47mclm0qwsfwx3v0sdutntdu,0,Important
kpftnwknlkgmnqhh,jc96o5whfzjldnexlpbks7qcf586h2rujpwcgawc5lk6r23,0,Planned
xsqbad,ig4oo9hhcnwyjal3u6gd4uulzyiq1mi,0,Important
fjbvhekgyqt,4kt9bkmgzq4,1,Planned
fayndvqexmwbcrqwbb,tvut8yjyup2ussj5e,0,Important
tncr,dryfpjmfj6,0,Important
jsbpwdadgdacvejpwkob,rn25rklq1p1lrwkilakmr32i9s7awmg4iupjb8n160,0,Planned
uyyon,oe5kgpsvgqg7yl2d3r,1,Important
iusjpmerqte,31z4p4bjrn0qsiw7djcb9j3lube5i,0,Planned
qnrvmsjqwha,ciiuhvyodqth3pf2c5c9j1e1esx5,0,Important
unaf,n2a1pa80q5osik37nm7kr3m1vsm0njq9nmch86ivf5r6mlbrrd,0,Important
ymbwwpbmthyevmbvmnt,lopfo58lblkkbzmy4bt4l2k,0,Important
gpynslihtzpxzxgetl,qst5vpe0anb74mpg446,1,Planned
uofrmxiklrijz,gszlt5e3tmvqske2h00mfbbvpmryca4jqgnq,1,Planned
imttr,lfy9txus8c4pj2bshtecs8a10fkekmb7hm,0,Important
gatjwsgkpqeaibcsd,kn4gamz3pxyh9z7m3cuyovl5v8n1aucuq73zmauw,0,Important
jeecjoiwtyvxwnqycmzm,b84sua3sf5bxalgx5yy19vh4ho3erzzcit69ki6,0,Important
xxlj,vxxx1844i7i21ukkvsh63i3r,0,Planned
elsqsjadmxderzbjx,5pnek3g5rlbs,0,Planned
pvouqssrvbkhhbcsfbq,1hp8ucufpes7qgc2k88past6ydhz,0,Important
puajqvpvqaeksmm,6mo50bc2qpz,0,Important
gyglqfeplv,1wb89ue61tr8lo52xj1u,1,Planned
nwed,wf6didoe6puug606yay